family,representative,sample,file_count,latest_mtime,sample_size_bytes,error_hit_count_in_tail
slurm-small1-tinyllama-pressure-c02.out,slurm/logs/slurm-small1-tinyllama-pressure-c02-1765956_13.out,results/general/slurm_log_samples/slurm-small1-tinyllama-pressure-c02.out,7,1783881906,2742,0
slurm-small1-tinyllama-pressure-c03.err,slurm/logs/slurm-small1-tinyllama-pressure-c03-1765957_20.err,results/general/slurm_log_samples/slurm-small1-tinyllama-pressure-c03.err,7,1783881907,537,2
slurm-small1-tinyllama-pressure-c03.out,slurm/logs/slurm-small1-tinyllama-pressure-c03-1765957_20.out,results/general/slurm_log_samples/slurm-small1-tinyllama-pressure-c03.out,7,1783881906,2742,0
slurm-small1-tinyllama-pressure-c04.err,slurm/logs/slurm-small1-tinyllama-pressure-c04-1765958_27.err,results/general/slurm_log_samples/slurm-small1-tinyllama-pressure-c04.err,7,1783882357,541,2
slurm-small1-tinyllama-pressure-c04.out,slurm/logs/slurm-small1-tinyllama-pressure-c04-1765958_27.out,results/general/slurm_log_samples/slurm-small1-tinyllama-pressure-c04.out,7,1783882355,2787,0
slurm-small1-tinyllama-pressure-c05.err,slurm/logs/slurm-small1-tinyllama-pressure-c05-1765959_34.err,results/general/slurm_log_samples/slurm-small1-tinyllama-pressure-c05.err,7,1783882477,540,2
slurm-small1-tinyllama-pressure-c05.out,slurm/logs/slurm-small1-tinyllama-pressure-c05-1765959_34.out,results/general/slurm_log_samples/slurm-small1-tinyllama-pressure-c05.out,7,1783882475,2742,0
slurm-small1-tinyllama-pressure-c06.err,slurm/logs/slurm-small1-tinyllama-pressure-c06-1765960_37.err,results/general/slurm_log_samples/slurm-small1-tinyllama-pressure-c06.err,3,1783882236,537,2
slurm-small1-tinyllama-pressure-c06.out,slurm/logs/slurm-small1-tinyllama-pressure-c06-1765960_37.out,results/general/slurm_log_samples/slurm-small1-tinyllama-pressure-c06.out,3,1783882235,2742,0
slurm-small2-qwen-0-5b-main-c01.err,slurm/logs/slurm-small2-qwen-0-5b-main-c01-1765961_6.err,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-main-c01.err,7,1783882494,538,2
slurm-small2-qwen-0-5b-main-c01.out,slurm/logs/slurm-small2-qwen-0-5b-main-c01-1765961_6.out,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-main-c01.out,7,1783882493,2845,0
slurm-small2-qwen-0-5b-main-c02.err,slurm/logs/slurm-small2-qwen-0-5b-main-c02-1765962_13.err,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-main-c02.err,7,1783882892,538,2
slurm-small2-qwen-0-5b-main-c02.out,slurm/logs/slurm-small2-qwen-0-5b-main-c02-1765962_13.out,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-main-c02.out,7,1783882891,2802,0
slurm-small2-qwen-0-5b-main-c03.err,slurm/logs/slurm-small2-qwen-0-5b-main-c03-1765963_20.err,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-main-c03.err,7,1783882985,538,2
slurm-small2-qwen-0-5b-main-c03.out,slurm/logs/slurm-small2-qwen-0-5b-main-c03-1765963_20.out,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-main-c03.out,7,1783882983,2802,0
slurm-small2-qwen-0-5b-main-c04.err,slurm/logs/slurm-small2-qwen-0-5b-main-c04-1765964_27.err,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-main-c04.err,7,1783883134,539,2
slurm-small2-qwen-0-5b-main-c04.out,slurm/logs/slurm-small2-qwen-0-5b-main-c04-1765964_27.out,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-main-c04.out,7,1783883133,2802,0
slurm-small2-qwen-0-5b-main-c05.err,slurm/logs/slurm-small2-qwen-0-5b-main-c05-1765965_34.err,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-main-c05.err,7,1783883166,542,2
slurm-small2-qwen-0-5b-main-c05.out,slurm/logs/slurm-small2-qwen-0-5b-main-c05-1765965_34.out,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-main-c05.out,7,1783883130,2802,0
slurm-small2-qwen-0-5b-main-c06.err,slurm/logs/slurm-small2-qwen-0-5b-main-c06-1765966_41.err,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-main-c06.err,7,1783883495,543,2
slurm-small2-qwen-0-5b-main-c06.out,slurm/logs/slurm-small2-qwen-0-5b-main-c06-1765966_41.out,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-main-c06.out,7,1783883527,2802,0
slurm-small2-qwen-0-5b-main-c07.err,slurm/logs/slurm-small2-qwen-0-5b-main-c07-1765967_48.err,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-main-c07.err,7,1783883648,542,2
slurm-small2-qwen-0-5b-main-c07.out,slurm/logs/slurm-small2-qwen-0-5b-main-c07-1765967_48.out,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-main-c07.out,7,1783883646,2802,0
slurm-small2-qwen-0-5b-main-c08.err,slurm/logs/slurm-small2-qwen-0-5b-main-c08-1765968_55.err,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-main-c08.err,7,1783883745,541,2
slurm-small2-qwen-0-5b-main-c08.out,slurm/logs/slurm-small2-qwen-0-5b-main-c08-1765968_55.out,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-main-c08.out,7,1783883743,2802,0
slurm-small2-qwen-0-5b-main-c09.err,slurm/logs/slurm-small2-qwen-0-5b-main-c09-1765969_57.err,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-main-c09.err,2,1783883319,542,2
slurm-small2-qwen-0-5b-main-c09.out,slurm/logs/slurm-small2-qwen-0-5b-main-c09-1765969_57.out,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-main-c09.out,2,1783883351,2802,0
slurm-small2-qwen-0-5b-pressure-c01.err,slurm/logs/slurm-small2-qwen-0-5b-pressure-c01-1765975_6.err,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-pressure-c01.err,7,1783884389,543,2
slurm-small2-qwen-0-5b-pressure-c01.out,slurm/logs/slurm-small2-qwen-0-5b-pressure-c01-1765975_6.out,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-pressure-c01.out,7,1783884387,2702,0
slurm-small2-qwen-0-5b-pressure-c02.err,slurm/logs/slurm-small2-qwen-0-5b-pressure-c02-1765976_13.err,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-pressure-c02.err,7,1783884539,537,2
slurm-small2-qwen-0-5b-pressure-c02.out,slurm/logs/slurm-small2-qwen-0-5b-pressure-c02-1765976_13.out,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-pressure-c02.out,7,1783884503,2704,0
slurm-small2-qwen-0-5b-pressure-c03.err,slurm/logs/slurm-small2-qwen-0-5b-pressure-c03-1765977_20.err,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-pressure-c03.err,7,1783884655,537,2
slurm-small2-qwen-0-5b-pressure-c03.out,slurm/logs/slurm-small2-qwen-0-5b-pressure-c03-1765977_20.out,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-pressure-c03.out,7,1783884687,2704,0
slurm-small2-qwen-0-5b-pressure-c04.err,slurm/logs/slurm-small2-qwen-0-5b-pressure-c04-1765978_27.err,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-pressure-c04.err,7,1783884778,541,2
slurm-small2-qwen-0-5b-pressure-c04.out,slurm/logs/slurm-small2-qwen-0-5b-pressure-c04-1765978_27.out,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-pressure-c04.out,7,1783884742,2704,0
slurm-small2-qwen-0-5b-pressure-c05.err,slurm/logs/slurm-small2-qwen-0-5b-pressure-c05-1765979_34.err,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-pressure-c05.err,7,1783885451,540,2
slurm-small2-qwen-0-5b-pressure-c05.out,slurm/logs/slurm-small2-qwen-0-5b-pressure-c05-1765979_34.out,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-pressure-c05.out,7,1783885415,2704,0
slurm-small2-qwen-0-5b-pressure-c06.err,slurm/logs/slurm-small2-qwen-0-5b-pressure-c06-1765980_37.err,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-pressure-c06.err,3,1783884990,536,2
slurm-small2-qwen-0-5b-pressure-c06.out,slurm/logs/slurm-small2-qwen-0-5b-pressure-c06-1765980_37.out,results/general/slurm_log_samples/slurm-small2-qwen-0-5b-pressure-c06.out,3,1783884988,2749,0
slurm-std-main-l1-qwen7.err,slurm/logs/slurm-std-main-l1-qwen7-1767845_59.err,results/general/slurm_log_samples/slurm-std-main-l1-qwen7.err,15,1783947211,345,2
slurm-std-main-l1-qwen7.out,slurm/logs/slurm-std-main-l1-qwen7-1767845_59.out,results/general/slurm_log_samples/slurm-std-main-l1-qwen7.out,15,1783945910,326,0
slurm-std-main-m1-qwen15.err,slurm/logs/slurm-std-main-m1-qwen15-1767844_61.err,results/general/slurm_log_samples/slurm-std-main-m1-qwen15.err,24,1783948000,345,2
slurm-std-main-m1-qwen15.out,slurm/logs/slurm-std-main-m1-qwen15-1767829_61.out,results/general/slurm_log_samples/slurm-std-main-m1-qwen15.out,24,1783945524,2883,0
slurm-std-pres-l1-qwen7.err,slurm/logs/slurm-std-pres-l1-qwen7-1767852_48.err,results/general/slurm_log_samples/slurm-std-pres-l1-qwen7.err,11,1783947177,346,2
slurm-std-pres-l1-qwen7.out,slurm/logs/slurm-std-pres-l1-qwen7-1767852_48.out,results/general/slurm_log_samples/slurm-std-pres-l1-qwen7.out,11,1783945650,228,0
slurm-std-pres-m1-qwen15.err,slurm/logs/slurm-std-pres-m1-qwen15-1767850_50.err,results/general/slurm_log_samples/slurm-std-pres-m1-qwen15.err,26,1783947177,346,2
slurm-std-pres-m1-qwen15.out,slurm/logs/slurm-std-pres-m1-qwen15-1767833_50.out,results/general/slurm_log_samples/slurm-std-pres-m1-qwen15.out,26,1783945593,230,0
slurm-std-pres-m2-phi3.err,slurm/logs/slurm-std-pres-m2-phi3-1767851_47.err,results/general/slurm_log_samples/slurm-std-pres-m2-phi3.err,10,1783947209,346,2
slurm-std-pres-m2-phi3.out,slurm/logs/slurm-std-pres-m2-phi3-1767851_47.out,results/general/slurm_log_samples/slurm-std-pres-m2-phi3.out,10,1783946538,236,0
slurm-std-pres-s1-tl1.err,slurm/logs/slurm-std-pres-s1-tl1-1767848_49.err,results/general/slurm_log_samples/slurm-std-pres-s1-tl1.err,23,1783947209,346,2
slurm-std-pres-s1-tl1.out,slurm/logs/slurm-std-pres-s1-tl1-1767831_48.out,results/general/slurm_log_samples/slurm-std-pres-s1-tl1.out,23,1783946862,238,0
slurm-std-pres-s2-qwen05.err,slurm/logs/slurm-std-pres-s2-qwen05-1767849_48.err,results/general/slurm_log_samples/slurm-std-pres-s2-qwen05.err,23,1783947211,346,2
slurm-std-pres-s2-qwen05.out,slurm/logs/slurm-std-pres-s2-qwen05-1767832_49.out,results/general/slurm_log_samples/slurm-std-pres-s2-qwen05.out,23,1783945651,230,0
slurm-u-l-falcon7-w1.err,slurm/logs/slurm-u-l-falcon7-w1-1761197_17.err,results/general/slurm_log_samples/slurm-u-l-falcon7-w1.err,18,1783651699,170,1
slurm-u-l-falcon7-w1.out,slurm/logs/slurm-u-l-falcon7-w1-1761197_17.out,results/general/slurm_log_samples/slurm-u-l-falcon7-w1.out,18,1783651666,98,0
slurm-u-l-qwen7-w1.err,slurm/logs/slurm-u-l-qwen7-w1-1761196_16.err,results/general/slurm_log_samples/slurm-u-l-qwen7-w1.err,18,1783651669,170,1
slurm-u-l-qwen7-w1.out,slurm/logs/slurm-u-l-qwen7-w1-1761196_17.out,results/general/slurm_log_samples/slurm-u-l-qwen7-w1.out,18,1783651699,98,0
slurm-u-m-phi3-w1.err,slurm/logs/slurm-u-m-phi3-w1-1761195_17.err,results/general/slurm_log_samples/slurm-u-m-phi3-w1.err,18,1783649443,170,1
slurm-u-m-phi3-w1.out,slurm/logs/slurm-u-m-phi3-w1-1761195_17.out,results/general/slurm_log_samples/slurm-u-m-phi3-w1.out,18,1783649443,98,0
slurm-u-m-qwen15-w1.err,slurm/logs/slurm-u-m-qwen15-w1-1761194_17.err,results/general/slurm_log_samples/slurm-u-m-qwen15-w1.err,18,1783649291,170,1
slurm-u-m-qwen15-w1.out,slurm/logs/slurm-u-m-qwen15-w1-1761194_16.out,results/general/slurm_log_samples/slurm-u-m-qwen15-w1.out,18,1783649262,98,0
slurm-u-s-qwen05-w1.err,slurm/logs/slurm-u-s-qwen05-w1-1761192_17.err,results/general/slurm_log_samples/slurm-u-s-qwen05-w1.err,18,1783643600,170,1
slurm-u-s-qwen05-w1.out,slurm/logs/slurm-u-s-qwen05-w1-1761192_17.out,results/general/slurm_log_samples/slurm-u-s-qwen05-w1.out,18,1783643567,98,0
slurm-u-s-tiny11-w1.err,slurm/logs/slurm-u-s-tiny11-w1-1761193_17.err,results/general/slurm_log_samples/slurm-u-s-tiny11-w1.err,18,1783643600,170,1
slurm-u-s-tiny11-w1.out,slurm/logs/slurm-u-s-tiny11-w1-1761193_17.out,results/general/slurm_log_samples/slurm-u-s-tiny11-w1.out,18,1783643600,98,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c01of04.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c01of04-1761723_20.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c01of04.err,21,1783677097,170,1
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c01of04.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c01of04-1761723_20.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c01of04.out,21,1783677097,98,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c01of24.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c01of24-1765205_2.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c01of24.err,3,1783852046,1048,2
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c01of24.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c01of24-1765205_2.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c01of24.out,3,1783852043,2768,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c02of04.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c02of04-1761724_41.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c02of04.err,21,1783677129,170,1
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c02of04.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c02of04-1761724_40.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c02of04.out,21,1783677100,98,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c02of24.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c02of24-1765206_5.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c02of24.err,3,1783852121,1044,2
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c02of24.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c02of24-1765206_5.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c02of24.out,3,1783852086,2768,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c03of04.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c03of04-1761725_62.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c03of04.err,21,1783677129,170,1
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c03of04.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c03of04-1761725_62.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c03of04.out,21,1783677096,98,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c03of24.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c03of24-1765207_8.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c03of24.err,3,1783852351,1046,2
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c03of24.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c03of24-1765207_8.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c03of24.out,3,1783852349,2768,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c04of04.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c04of04-1761726_83.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c04of04.err,21,1783677760,170,1
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c04of04.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c04of04-1761726_83.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c04of04.out,21,1783677760,98,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c04of24.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c04of24-1765208_11.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c04of24.err,3,1783852439,1131,2
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c04of24.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c04of24-1765208_11.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c04of24.out,3,1783852470,2770,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c05of24.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c05of24-1765209_14.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c05of24.err,3,1783852623,1144,2
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c05of24.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c05of24-1765209_14.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c05of24.out,3,1783852621,2770,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c06of24.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c06of24-1765210_17.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c06of24.err,3,1783852788,1044,2
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c06of24.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c06of24-1765210_17.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c06of24.out,3,1783852786,2770,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c07of24.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c07of24-1765211_20.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c07of24.err,3,1783852957,1134,2
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c07of24.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c07of24-1765211_20.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c07of24.out,3,1783852988,2770,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c08of24.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c08of24-1765212_23.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c08of24.err,3,1783853144,1134,2
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c08of24.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c08of24-1765212_23.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c08of24.out,3,1783853142,2770,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c09of24.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c09of24-1765213_26.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c09of24.err,3,1783853355,1136,2
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c09of24.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c09of24-1765213_26.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c09of24.out,3,1783853319,2770,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c10of24.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c10of24-1765214_29.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c10of24.err,3,1783853505,1048,2
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c10of24.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c10of24-1765214_29.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c10of24.out,3,1783853503,2770,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c11of24.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c11of24-1765215_32.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c11of24.err,3,1783853635,1045,2
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c11of24.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c11of24-1765215_32.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c11of24.out,3,1783853668,2770,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c12of24.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c12of24-1765216_35.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c12of24.err,3,1783853820,1048,2
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c12of24.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c12of24-1765216_35.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c12of24.out,3,1783853818,2770,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c13of24.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c13of24-1765217_38.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c13of24.err,3,1783853908,1045,2
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c13of24.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c13of24-1765217_38.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c13of24.out,3,1783853907,2770,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c14of24.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c14of24-1765218_41.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c14of24.err,3,1783854092,1048,2
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c14of24.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c14of24-1765218_41.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c14of24.out,3,1783854089,2770,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c15of24.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c15of24-1765219_44.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c15of24.err,3,1783854211,1047,2
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c15of24.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c15of24-1765219_44.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c15of24.out,3,1783854176,2770,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c16of24.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c16of24-1765220_47.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c16of24.err,3,1783854332,1139,2
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c16of24.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c16of24-1765220_47.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c16of24.out,3,1783854330,2770,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c17of24.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c17of24-1765221_50.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c17of24.err,3,1783854485,1047,2
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c17of24.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c17of24-1765221_50.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c17of24.out,3,1783854484,2770,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c18of24.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c18of24-1765222_53.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c18of24.err,3,1783854639,1047,2
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c18of24.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c18of24-1765222_53.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c18of24.out,3,1783854603,2770,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c19of24.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c19of24-1765223_56.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c19of24.err,3,1783854722,1047,2
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c19of24.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c19of24-1765223_56.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c19of24.out,3,1783854754,2770,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c20of24.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c20of24-1765224_59.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c20of24.err,3,1783854877,1046,2
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c20of24.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c20of24-1765224_59.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c20of24.out,3,1783854875,2770,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c21of24.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c21of24-1765225_62.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c21of24.err,3,1783855029,1047,2
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c21of24.out,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c21of24-1765225_62.out,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c21of24.out,3,1783855028,2770,0
slurm-userlm-large-01-qwen2-5-7b-a2ef92-c22of24.err,slurm/logs/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c22of24-1765226_65.err,results/general/slurm_log_samples/slurm-userlm-large-01-qwen2-5-7b-a2ef92-c22of24.err,3,1783855150,1133,2
